,Filename,Label,Comment
0,DE0007100000_1583854415862644636.csv.gz,0.0,
1,DE0005140008_1562575718536154318.csv.gz,1.0,
2,DE0007165631_1641823504438736356.csv.gz,0.0,
3,DE000A0D9PT0_1616151772073988854.csv.gz,0.0,
4,DE0007165631_1632736324861982361.csv.gz,1.0,
5,DE0008402215_1584531494858829082.csv.gz,1.0,
6,DE0007100000_1641292185801688450.csv.gz,1.0,
7,DE0005810055_1567155545459390086.csv.gz,1.0,
8,DE0007165631_1636125452535735654.csv.gz,0.0,
9,DE0007165631_1667899660846137560.csv.gz,1.0,
10,DE0006047004_1658240261537410593.csv.gz,1.0,
11,DE0007100000_1563962636798631297.csv.gz,0.0,
12,DE0006599905_1647425519461240001.csv.gz,0.0,
13,DE000A0D9PT0_1614183345935913843.csv.gz,0.0,
14,DE0006231004_1583139144314019792.csv.gz,0.0,
15,DE0005140008_1583743997218616439.csv.gz,1.0,
16,DE0008430026_1584614314420054737.csv.gz,0.0,
17,DE0005200000_1565076590916297889.csv.gz,0.0,
18,DE0005552004_1651573246749715055.csv.gz,0.0,difficult
19,DE0007664039_1657023700846166320.csv.gz,0.0,
20,DE0005552004_1632296308436847714.csv.gz,0.0,
21,DE0007165631_1646817199400630356.csv.gz,1.0,difficult
22,DE0005439004_1555489015737223724.csv.gz,0.0,
23,DE000A0D9PT0_1601972256479601832.csv.gz,0.0,
24,DE0005140008_1582819671379491882.csv.gz,0.0,
25,DE000A0D9PT0_1584433190292230912.csv.gz,1.0,
26,DE0007100000_1591086849127191089.csv.gz,1.0,
27,DE0007037129_1646387036922443697.csv.gz,0.0,
28,DE0007664039_1562919273380395670.csv.gz,1.0,difficult
29,DE0006231004_1660745446228926815.csv.gz,1.0,
30,DE0007165631_1666187858098253162.csv.gz,0.0,
31,DE0007164600_1584527065385949057.csv.gz,0.0,
32,DE0006048432_1584629224196391412.csv.gz,0.0,
33,DE0007037129_1604490121050251974.csv.gz,0.0,
34,DE0005140008_1561542150341492839.csv.gz,0.0,
35,DE000A0D9PT0_1616687213391017001.csv.gz,1.0,difficult
36,DE0005785604_1562848260640600002.csv.gz,0.0,
37,DE0007165631_1668588485898927033.csv.gz,0.0,difficult
38,DE0007037129_1668087381421492512.csv.gz,0.0,
39,DE000A0D9PT0_1663074916135489508.csv.gz,0.0,
40,DE0007100000_1584433721000753855.csv.gz,0.0,
41,DE0006062144_1568106310752208920.csv.gz,1.0,
42,DE0006062144_1646641903297720905.csv.gz,0.0,
43,DE0006062144_1667994078069218437.csv.gz,0.0,
44,DE000A0D9PT0_1584970704741279575.csv.gz,0.0,
45,DE0007165631_1587465761003339365.csv.gz,0.0,difficult
46,DE0006062144_1611914142216471750.csv.gz,0.0,
47,DE0007664039_1611312707123133207.csv.gz,0.0,
48,DE0007037129_1646315290291511427.csv.gz,0.0,
49,DE0007037129_1614702160043270391.csv.gz,0.0,
50,DE0006231004_1646911884369708157.csv.gz,0.0,
51,DE0005439004_1581497134044101880.csv.gz,1.0,
52,DE000A0D9PT0_1663317993804826705.csv.gz,0.0,
53,DE0005140008_1584092767048182094.csv.gz,0.0,
54,DE0005140008_1565776933213016990.csv.gz,1.0,
55,DE0005140008_1623395860710724745.csv.gz,0.0,
56,DE0005552004_1584347798264792936.csv.gz,0.0,
57,DE0007100000_1612367309067956930.csv.gz,0.0,
58,DE0007030009_1646903375544157558.csv.gz,0.0,
