Filename,Label,Comment
DE0007037129_1584020502996583617.csv.gz,0,
DE0005552004_1655214878362758059.csv.gz,0,
DE0007100000_1591951170860137613.csv.gz,0,
DE0007037129_1646321942405996502.csv.gz,0,
DE0006062144_1655885219934836260.csv.gz,0,
DE0006047004_1583916484746245709.csv.gz,0,
DE0005439004_1619173731999122946.csv.gz,0,
DE000A0D9PT0_1646318951290834911.csv.gz,0,
DE0006231004_1583827773639995945.csv.gz,0,
DE0007236101_1655459519554720168.csv.gz,0,
DE0005140008_1580999442765633053.csv.gz,0,
DE0007100000_1639124512811999059.csv.gz,0,
DE0006231004_1614589366283757356.csv.gz,0,difficult
DE0005552004_1585578977372229164.csv.gz,0,difficutl
DE0005140008_1583248558404328039.csv.gz,1,
DE0007030009_1657017811560113952.csv.gz,0,
DE0007037129_1645529229382263027.csv.gz,0,
DE0005552004_1646727835970003795.csv.gz,1,difficult
DE0005140008_1570528289324330164.csv.gz,0,difficult
DE0007165631_1590576199926247805.csv.gz,1,
DE0006231004_1639671691357902232.csv.gz,0,
DE0007030009_1584348419595779988.csv.gz,1,
DE0007664039_1611575122965632553.csv.gz,0,
DE0007165631_1638959811787858574.csv.gz,0,
DE0005140008_1646751978593448613.csv.gz,0,
DE0005557508_1646387740690592053.csv.gz,0,
DE0007100000_1586269319391966480.csv.gz,1,
DE0005439004_1583829365309540237.csv.gz,1,
DE0005439004_1604922651312902835.csv.gz,1,
DE0006047004_1604589603887890584.csv.gz,0,difficult
DE0006231004_1612428482176881624.csv.gz,1,
DE0005552004_1646663218886314181.csv.gz,1,
DE000A0D9PT0_1605008299130994269.csv.gz,1,difficult
DE0007664039_1608110691007322201.csv.gz,1,
DE0008430026_1584695889778701302.csv.gz,1,
DE0007037129_1646751207396235235.csv.gz,0,
DE0006062144_1641378470281703218.csv.gz,0,
DE0005140008_1588144241272824965.csv.gz,0,
DE0005785604_1666187371463060750.csv.gz,0,
DE000A0D9PT0_1586183771846243703.csv.gz,0,
DE000A0D9PT0_1608538605364014321.csv.gz,0,
DE0007037129_1656596263191573092.csv.gz,0,difficult
DE0005190003_1566572996812827404.csv.gz,0,
DE0006048432_1643616598396708434.csv.gz,0,
DE0005439004_1584005170851922138.csv.gz,0,
DE000A0D9PT0_1586157995809094831.csv.gz,0,
DE0005439004_1560938687378420635.csv.gz,1,
DE000A0D9PT0_1604922436671069529.csv.gz,1,
DE0005140008_1584097759819216566.csv.gz,1,
DE0005140008_1616161339565329745.csv.gz,1,difficult
DE0006047004_1657274192956370690.csv.gz,1,
DE0005140008_1599204704092440266.csv.gz,1,
DE000A0D9PT0_1592991627860405349.csv.gz,0,
DE0007165631_1651478992322862834.csv.gz,0,
DE0007100000_1638959615944992221.csv.gz,0,
DE000A0D9PT0_1584720494310973417.csv.gz,1,
DE000A0D9PT0_1602152986927120521.csv.gz,1,
DE0007037129_1612525279255586303.csv.gz,0,
DE0006062144_1664178284537628876.csv.gz,0,
DE0007100000_1584090217921390182.csv.gz,0,
DE0007664039_1584110115717699931.csv.gz,1,
DE0008404005_1584694162819694065.csv.gz,1,
DE0007165631_1654071006190248182.csv.gz,0,difficult
DE000A0D9PT0_1589883298850979952.csv.gz,0,difficult
DE000A0D9PT0_1584113665672738573.csv.gz,0,
DE0006231004_1620114121093116145.csv.gz,0,
DE0005810055_1582022578854007330.csv.gz,0,
DE000A0D9PT0_1613747911428959030.csv.gz,0,diffcult for rule based approach
DE000A0D9PT0_1614933310434585221.csv.gz,0,
DE0005140008_1603185340040221926.csv.gz,0,difficult
DE0005439004_1662713484667298034.csv.gz,0,
DE0007100000_1664177856116841845.csv.gz,0,
DE0007030009_1646227469427596389.csv.gz,0,
DE0006231004_1602167653207002724.csv.gz,0,
DE0007030009_1584951964187490123.csv.gz,0,
DE0005439004_1584027506271626578.csv.gz,1,difficult
DE0007165631_1664176804346544401.csv.gz,1,
DE0006231004_1584973432485095706.csv.gz,0,
